Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:17:16.217466,11:17:23.420484,1,-1.0
1,11:17:16.217466,11:17:23.891467,1,-1.0
1,11:17:16.217466,11:17:24.539455,1,-1.0
1,11:17:16.217466,11:17:25.116619,1,-1.0
1,11:17:16.217466,11:17:32.926471,-1,-1.0
1,11:17:16.217466,11:17:35.675623,1,-1.0
1,11:17:16.217466,11:17:38.281469,1,-1.0
1,11:17:16.217466,11:17:39.391362,1,-1.0
1,11:17:16.217466,11:17:40.091201,1,-1.0
1,11:17:16.217466,11:17:46.822684,-1,-1.0
1,11:17:16.217466,11:17:47.262644,-1,-1.0
1,11:17:16.217466,11:17:48.011023,-1,-1.0
1,11:17:16.217466,11:17:54.083889,1,-1.0
1,11:17:16.217466,11:17:57.192598,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:17:57.194393,11:18:02.545181,-1,-1.0
2,11:17:57.194393,11:18:11.976153,1,-1.0
2,11:17:57.194393,11:18:12.639995,-1,-1.0
2,11:17:57.194393,11:18:13.523987,-1,-1.0
2,11:17:57.194393,11:18:14.139263,-1,-1.0
2,11:17:57.194393,11:18:14.581232,-1,-1.0
2,11:17:57.194393,11:18:15.013417,-1,-1.0
2,11:17:57.194393,11:18:19.060353,1,-1.0
2,11:17:57.194393,11:18:30.902082,-1,-1.0
2,11:17:57.194393,11:18:31.530840,-1,-1.0
2,11:17:57.194393,11:18:32.471162,-1,-1.0
2,11:17:57.194393,11:18:33.290243,-1,-1.0
2,11:17:57.194393,11:18:33.753943,-1,-1.0
2,11:17:57.194393,11:18:34.625141,-1,-1.0
2,11:17:57.194393,11:18:37.731286,1,-1.0
