Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:28:57.932351,14:28:59.827768,1,-1.0
1,14:28:57.932351,14:29:00.526157,1,-1.0
1,14:28:57.932351,14:29:02.365608,1,-1.0
1,14:28:57.932351,14:29:06.575659,1,-1.0
1,14:28:57.932351,14:29:12.917841,-1,-1.0
1,14:28:57.932351,14:29:13.480024,-1,-1.0
1,14:28:57.932351,14:29:13.943206,-1,-1.0
1,14:28:57.932351,14:29:14.542477,-1,-1.0
1,14:28:57.932351,14:29:15.386006,1,-1.0
1,14:28:57.932351,14:29:24.036562,1,-1.0
1,14:28:57.932351,14:29:25.639326,-1,-1.0
1,14:28:57.932351,14:29:26.371980,-1,-1.0
1,14:28:57.932351,14:29:33.693631,1,-1.0
1,14:28:57.932351,14:29:35.027626,-1,-1.0
1,14:28:57.932351,14:29:36.034152,1,-1.0
1,14:28:57.932351,14:29:39.235909,1,-1.0
1,14:28:57.932351,14:29:42.233906,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,14:29:48.858738,14:29:53.383699,-1,-1.0
2,14:29:48.858738,14:29:56.640952,1,-1.0
2,14:29:48.858738,14:30:00.167862,1,-1.0
2,14:29:48.858738,14:30:02.282016,1,-1.0
2,14:29:48.858738,14:30:03.406129,1,-1.0
2,14:29:48.858738,14:30:04.829709,1,-1.0
2,14:29:48.858738,14:30:05.999184,-1,-1.0
2,14:29:48.858738,14:30:06.499880,-1,-1.0
2,14:29:48.858738,14:30:07.840787,1,-1.0
2,14:29:48.858738,14:30:13.368866,1,-1.0
2,14:29:48.858738,14:30:14.056960,1,-1.0
2,14:29:48.858738,14:30:16.021766,1,-1.0
