Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:35:52.815800,11:35:54.817493,1,-1.0
1,11:35:52.815800,11:35:55.436540,1,-1.0
1,11:35:52.815800,11:35:58.313517,1,-1.0
1,11:35:52.815800,11:35:59.629190,1,-1.0
1,11:35:52.815800,11:36:00.862353,-1,-1.0
1,11:35:52.815800,11:36:01.685997,-1,-1.0
1,11:35:52.815800,11:36:02.144142,-1,-1.0
1,11:35:52.815800,11:36:02.761611,-1,-1.0
1,11:35:52.815800,11:36:03.201603,1,-1.0
1,11:35:52.815800,11:36:04.256704,1,-1.0
1,11:35:52.815800,11:36:04.720113,1,-1.0
1,11:35:52.815800,11:36:07.099554,1,-1.0
1,11:35:52.815800,11:36:09.711148,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:36:12.356056,11:36:13.966524,-1,-1.0
2,11:36:12.356056,11:36:14.354046,-1,-1.0
2,11:36:12.356056,11:36:14.792115,-1,-1.0
2,11:36:12.356056,11:36:15.588621,1,-1.0
2,11:36:12.356056,11:36:15.927069,1,-1.0
2,11:36:12.356056,11:36:16.838955,1,-1.0
2,11:36:12.356056,11:36:18.303061,1,-1.0
2,11:36:12.356056,11:36:21.383517,1,-1.0
2,11:36:12.356056,11:36:22.675634,1,-1.0
2,11:36:12.356056,11:36:23.431046,-1,-1.0
2,11:36:12.356056,11:36:23.896558,-1,-1.0
2,11:36:12.356056,11:36:24.470779,1,-1.0
2,11:36:12.356056,11:36:24.865903,1,-1.0
2,11:36:12.356056,11:36:25.369433,1,-1.0
2,11:36:12.356056,11:36:26.175563,1,-1.0
2,11:36:12.356056,11:36:27.122104,1,-1.0
2,11:36:12.356056,11:36:28.101256,1,-1.0
2,11:36:12.356056,11:36:29.905082,1,-1.0
2,11:36:12.356056,11:36:30.481125,1,-1.0
2,11:36:12.356056,11:36:31.781382,1,-1.0
