Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:02:28.327635,12:02:29.807573,1,-1.0
1,12:02:28.327635,12:02:30.502172,1,-1.0
1,12:02:28.327635,12:02:32.493212,1,-1.0
1,12:02:28.327635,12:02:33.670931,1,-1.0
1,12:02:28.327635,12:02:35.646939,1,-1.0
1,12:02:28.327635,12:02:36.031537,1,-1.0
1,12:02:28.327635,12:02:36.320449,1,-1.0
1,12:02:28.327635,12:02:37.102529,1,-1.0
1,12:02:28.327635,12:02:37.885923,-1,-1.0
1,12:02:28.327635,12:02:38.404272,-1,-1.0
1,12:02:28.327635,12:02:39.038213,-1,-1.0
1,12:02:28.327635,12:02:39.624948,-1,-1.0
1,12:02:28.327635,12:02:40.101618,-1,-1.0
1,12:02:28.327635,12:02:40.710737,-1,-1.0
1,12:02:28.327635,12:02:41.176078,1,-1.0
1,12:02:28.327635,12:02:42.373692,1,-1.0
1,12:02:28.327635,12:02:46.282141,1,-1.0
1,12:02:28.327635,12:02:49.868253,-1,-1.0
1,12:02:28.327635,12:02:54.420278,1,-1.0
1,12:02:28.327635,12:02:55.689736,1,-1.0
1,12:02:28.327635,12:02:56.303585,-1,-1.0
1,12:02:28.327635,12:02:56.790562,-1,-1.0
1,12:02:28.327635,12:02:57.396736,-1,-1.0
1,12:02:28.327635,12:02:57.731013,-1,-1.0
1,12:02:28.327635,12:02:58.146881,-1,-1.0
1,12:02:28.327635,12:02:59.107729,1,-1.0
1,12:02:28.327635,12:02:59.558220,1,-1.0
1,12:02:28.327635,12:03:02.656635,1,-1.0
1,12:02:28.327635,12:03:03.044087,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:03:05.220224,12:03:07.189151,-1,-1.0
2,12:03:05.220224,12:03:07.528913,-1,-1.0
2,12:03:05.220224,12:03:07.927912,-1,-1.0
2,12:03:05.220224,12:03:08.359939,-1,-1.0
2,12:03:05.220224,12:03:09.345302,1,-1.0
2,12:03:05.220224,12:03:09.637157,1,-1.0
2,12:03:05.220224,12:03:09.908856,1,-1.0
2,12:03:05.220224,12:03:13.597952,1,-1.0
2,12:03:05.220224,12:03:14.001675,1,-1.0
2,12:03:05.220224,12:03:14.382822,1,-1.0
2,12:03:05.220224,12:03:16.799434,-1,-1.0
2,12:03:05.220224,12:03:17.307058,-1,-1.0
2,12:03:05.220224,12:03:17.786570,-1,-1.0
2,12:03:05.220224,12:03:18.202649,-1,-1.0
2,12:03:05.220224,12:03:18.835171,1,-1.0
2,12:03:05.220224,12:03:22.782870,1,-1.0
2,12:03:05.220224,12:03:26.617470,1,-1.0
