Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:33:50.477670,11:33:53.822115,1,-1.0
1,11:33:50.477670,11:33:59.381609,1,-1.0
1,11:33:50.477670,11:34:03.192984,-1,-1.0
1,11:33:50.477670,11:34:03.560752,-1,-1.0
1,11:33:50.477670,11:34:04.088009,-1,-1.0
1,11:33:50.477670,11:34:04.423227,1,-1.0
1,11:33:50.477670,11:34:04.674964,1,-1.0
1,11:33:50.477670,11:34:04.959777,1,-1.0
1,11:33:50.477670,11:34:08.222233,1,-1.0
1,11:33:50.477670,11:34:09.368252,-1,-1.0
1,11:33:50.477670,11:34:10.404892,-1,-1.0
1,11:33:50.477670,11:34:10.890982,-1,-1.0
1,11:33:50.477670,11:34:11.635278,1,-1.0
1,11:33:50.477670,11:34:13.348233,1,-1.0
1,11:33:50.477670,11:34:16.937689,-1,-1.0
1,11:33:50.477670,11:34:17.546972,-1,-1.0
1,11:33:50.477670,11:34:19.355677,1,-1.0
1,11:33:50.477670,11:34:22.533003,1,-1.0
1,11:33:50.477670,11:34:26.680754,1,-1.0
1,11:33:50.477670,11:34:27.141279,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:34:27.334072,11:34:28.440080,-1,-1.0
2,11:34:27.334072,11:34:29.117803,-1,-1.0
2,11:34:27.334072,11:34:29.647305,-1,-1.0
2,11:34:27.334072,11:34:30.137273,-1,-1.0
2,11:34:27.334072,11:34:30.706579,1,-1.0
2,11:34:27.334072,11:34:32.744554,1,-1.0
2,11:34:27.334072,11:34:35.748093,1,-1.0
2,11:34:27.334072,11:34:36.347091,-1,-1.0
2,11:34:27.334072,11:34:36.923496,-1,-1.0
2,11:34:27.334072,11:34:37.651868,1,-1.0
2,11:34:27.334072,11:34:43.020588,-1,-1.0
2,11:34:27.334072,11:34:43.559659,-1,-1.0
2,11:34:27.334072,11:34:43.964388,1,-1.0
2,11:34:27.334072,11:34:43.989283,-1,-1.0
2,11:34:27.334072,11:34:44.391513,-1,-1.0
2,11:34:27.334072,11:34:44.908304,-1,-1.0
2,11:34:27.334072,11:34:45.729518,1,-1.0
2,11:34:27.334072,11:34:46.187874,1,-1.0
2,11:34:27.334072,11:34:47.597718,-1,-1.0
2,11:34:27.334072,11:34:49.673296,1,-1.0
2,11:34:27.334072,11:34:51.852526,1,-1.0
2,11:34:27.334072,11:34:55.514782,1,-1.0
