Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:24:08.261622,21:24:14.797884,1,-1.0
1,21:24:08.261622,21:24:19.559153,-1,-1.0
1,21:24:08.261622,21:24:20.364928,-1,-1.0
1,21:24:08.261622,21:24:27.092048,1,-1.0
1,21:24:08.261622,21:24:27.558360,1,-1.0
1,21:24:08.261622,21:24:30.060128,-1,-1.0
1,21:24:08.261622,21:24:30.847853,-1,-1.0
1,21:24:08.261622,21:24:34.506409,1,-1.0
1,21:24:08.261622,21:24:36.416736,-1,-1.0
1,21:24:08.261622,21:24:37.858544,-1,-1.0
1,21:24:08.261622,21:24:38.721047,1,-1.0
1,21:24:08.261622,21:24:39.038361,1,-1.0
1,21:24:08.261622,21:24:39.434395,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:24:45.633645,21:25:00.477318,-1,-1.0
2,21:24:45.633645,21:25:06.423934,1,-1.0
2,21:24:45.633645,21:25:06.542357,-1,-1.0
2,21:24:45.633645,21:25:13.918584,-1,-1.0
2,21:24:45.633645,21:25:14.628622,-1,-1.0
2,21:24:45.633645,21:25:18.517338,-1,-1.0
2,21:24:45.633645,21:25:19.052490,-1,-1.0
2,21:24:45.633645,21:25:20.841062,1,-1.0
2,21:24:45.633645,21:25:21.304192,1,-1.0
2,21:24:45.633645,21:25:23.572836,1,-1.0
