Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:45:43.789549,19:45:46.356772,2,-1.0
1,19:45:43.789549,19:45:46.556288,2,-1.0
1,19:45:43.789549,19:45:46.756034,2,-1.0
1,19:45:43.789549,19:45:46.935511,2,-1.0
1,19:45:43.789549,19:45:47.097066,2,-1.0
1,19:45:43.789549,19:45:47.315416,2,-1.0
1,19:45:43.789549,19:45:47.511942,2,-1.0
1,19:45:43.789549,19:45:47.697491,2,-1.0
1,19:45:43.789549,19:45:48.884719,2,-1.0
1,19:45:43.789549,19:45:51.397864,2,-1.0
1,19:45:43.789549,19:46:00.725869,2,-1.0
1,19:45:43.789549,19:46:00.908630,2,-1.0
1,19:45:43.789549,19:46:01.087209,2,-1.0
1,19:45:43.789549,19:46:01.248264,2,-1.0
1,19:45:43.789549,19:46:01.399581,2,-1.0
1,19:45:43.789549,19:46:01.548936,2,-1.0
1,19:45:43.789549,19:46:01.695473,2,-1.0
1,19:45:43.789549,19:46:01.864146,2,-1.0
1,19:45:43.789549,19:46:02.031063,2,-1.0
1,19:45:43.789549,19:46:02.182836,2,-1.0
1,19:45:43.789549,19:46:02.350540,2,-1.0
1,19:45:43.789549,19:46:02.480475,2,-1.0
1,19:45:43.789549,19:46:02.639061,2,-1.0
1,19:45:43.789549,19:46:02.819058,2,-1.0
1,19:45:43.789549,19:46:02.947827,2,-1.0
1,19:45:43.789549,19:46:03.261355,2,-1.0
1,19:45:43.789549,19:46:03.442095,2,-1.0
1,19:45:43.789549,19:46:03.622463,2,-1.0
1,19:45:43.789549,19:46:03.823815,2,-1.0
1,19:45:43.789549,19:46:03.992819,2,-1.0
1,19:45:43.789549,19:46:04.177927,2,-1.0
1,19:45:43.789549,19:46:04.355466,2,-1.0
1,19:45:43.789549,19:46:04.524487,2,-1.0
1,19:45:43.789549,19:46:04.681523,2,-1.0
1,19:45:43.789549,19:46:04.890522,2,-1.0
1,19:45:43.789549,19:46:05.209554,2,-1.0
1,19:45:43.789549,19:46:05.428307,2,-1.0
1,19:45:43.789549,19:46:05.594342,2,-1.0
1,19:45:43.789549,19:46:05.762238,2,-1.0
1,19:45:43.789549,19:46:05.912271,2,-1.0
1,19:45:43.789549,19:46:06.139271,2,-1.0
1,19:45:43.789549,19:46:06.317399,2,-1.0
1,19:45:43.789549,19:46:06.491386,2,-1.0
1,19:45:43.789549,19:46:06.671032,2,-1.0
1,19:45:43.789549,19:46:06.830345,2,-1.0
1,19:45:43.789549,19:46:07.106863,3,-1.0
1,19:45:43.789549,19:46:07.385831,3,-1.0
1,19:45:43.789549,19:46:08.093369,3,-1.0
1,19:45:43.789549,19:46:08.457846,3,-1.0
1,19:45:43.789549,19:46:09.390458,3,-1.0
1,19:45:43.789549,19:46:09.746308,3,-1.0
1,19:45:43.789549,19:46:10.057529,3,-1.0
1,19:45:43.789549,19:46:10.329467,3,-1.0
1,19:45:43.789549,19:46:10.653618,3,-1.0
1,19:45:43.789549,19:46:10.894323,3,-1.0
1,19:45:43.789549,19:46:11.196790,3,-1.0
1,19:45:43.789549,19:46:11.437481,3,-1.0
1,19:45:43.789549,19:46:11.669451,3,-1.0
1,19:45:43.789549,19:46:11.908040,3,-1.0
1,19:45:43.789549,19:46:12.159298,3,-1.0
1,19:45:43.789549,19:46:12.411431,3,-1.0
1,19:45:43.789549,19:46:12.643493,3,-1.0
1,19:45:43.789549,19:46:13.225399,3,-1.0
1,19:45:43.789549,19:46:13.448987,3,-1.0
1,19:45:43.789549,19:46:13.668059,3,-1.0
1,19:45:43.789549,19:46:13.877283,3,-1.0
1,19:45:43.789549,19:46:14.108849,3,-1.0
1,19:45:43.789549,19:46:14.339360,3,-1.0
1,19:45:43.789549,19:46:14.547081,3,-1.0
1,19:45:43.789549,19:46:14.745819,3,-1.0
1,19:45:43.789549,19:46:14.953486,3,-1.0
1,19:45:43.789549,19:46:15.151732,3,-1.0
1,19:45:43.789549,19:46:15.351225,3,-1.0
1,19:45:43.789549,19:46:15.548820,3,-1.0
1,19:45:43.789549,19:46:15.758439,3,-1.0
1,19:45:43.789549,19:46:15.967061,3,-1.0
1,19:45:43.789549,19:46:16.167651,3,-1.0
1,19:45:43.789549,19:46:16.355311,3,-1.0
1,19:45:43.789549,19:46:16.554021,3,-1.0
1,19:45:43.789549,19:46:16.757272,3,-1.0
1,19:45:43.789549,19:46:16.968563,3,-1.0
1,19:45:43.789549,19:46:17.180205,3,-1.0
1,19:45:43.789549,19:46:17.379238,3,-1.0
1,19:45:43.789549,19:46:17.592974,3,-1.0
1,19:45:43.789549,19:46:17.828414,3,-1.0
1,19:45:43.789549,19:46:18.078294,3,-1.0
1,19:45:43.789549,19:46:18.318637,3,-1.0
1,19:45:43.789549,19:46:18.545281,3,-1.0
1,19:45:43.789549,19:46:18.754138,3,-1.0
1,19:45:43.789549,19:46:18.964084,3,-1.0
1,19:45:43.789549,19:46:19.166201,3,-1.0
1,19:45:43.789549,19:46:19.381838,3,-1.0
1,19:45:43.789549,19:46:19.621431,3,-1.0
1,19:45:43.789549,19:46:21.166246,2,-1.0
1,19:45:43.789549,19:46:21.361477,2,-1.0
1,19:45:43.789549,19:46:21.509834,2,-1.0
1,19:45:43.789549,19:46:21.678541,2,-1.0
1,19:45:43.789549,19:46:21.838418,2,-1.0
1,19:45:43.789549,19:46:22.003021,2,-1.0
1,19:45:43.789549,19:46:22.148788,2,-1.0
1,19:45:43.789549,19:46:22.310157,2,-1.0
1,19:45:43.789549,19:46:22.477285,2,-1.0
1,19:45:43.789549,19:46:22.600026,2,-1.0
1,19:45:43.789549,19:46:22.769267,2,-1.0
1,19:45:43.789549,19:46:22.920098,2,-1.0
1,19:45:43.789549,19:46:23.074820,2,-1.0
1,19:45:43.789549,19:46:23.230583,2,-1.0
1,19:45:43.789549,19:46:23.383823,2,-1.0
1,19:45:43.789549,19:46:23.531046,2,-1.0
1,19:45:43.789549,19:46:23.690795,2,-1.0
1,19:45:43.789549,19:46:23.860029,2,-1.0
1,19:45:43.789549,19:46:24.033760,2,-1.0
1,19:45:43.789549,19:46:24.190704,2,-1.0
1,19:45:43.789549,19:46:24.357833,2,-1.0
1,19:45:43.789549,19:46:24.493546,2,-1.0
1,19:45:43.789549,19:46:24.645693,2,-1.0
1,19:45:43.789549,19:46:24.792795,2,-1.0
1,19:45:43.789549,19:46:24.972198,2,-1.0
1,19:45:43.789549,19:46:25.161947,2,-1.0
1,19:45:43.789549,19:46:25.393363,2,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,19:46:26.586668,19:46:27.762238,2,-1.0
2,19:46:26.586668,19:46:28.214163,2,-1.0
2,19:46:26.586668,19:46:28.622076,2,-1.0
2,19:46:26.586668,19:46:28.791898,2,-1.0
2,19:46:26.586668,19:46:28.960766,2,-1.0
2,19:46:26.586668,19:46:29.109487,2,-1.0
2,19:46:26.586668,19:46:29.500325,2,-1.0
2,19:46:26.586668,19:46:29.687812,2,-1.0
2,19:46:26.586668,19:46:29.878958,2,-1.0
2,19:46:26.586668,19:46:30.078668,2,-1.0
2,19:46:26.586668,19:46:30.265971,2,-1.0
2,19:46:26.586668,19:46:30.415541,2,-1.0
2,19:46:26.586668,19:46:30.811370,2,-1.0
2,19:46:26.586668,19:46:31.298808,2,-1.0
2,19:46:26.586668,19:46:31.667300,2,-1.0
2,19:46:26.586668,19:46:31.961043,2,-1.0
2,19:46:26.586668,19:46:32.194456,2,-1.0
2,19:46:26.586668,19:46:32.435021,2,-1.0
2,19:46:26.586668,19:46:32.705804,2,-1.0
2,19:46:26.586668,19:46:32.963694,2,-1.0
2,19:46:26.586668,19:46:33.182122,2,-1.0
2,19:46:26.586668,19:46:33.401541,2,-1.0
2,19:46:26.586668,19:46:33.614000,2,-1.0
2,19:46:26.586668,19:46:33.856001,2,-1.0
2,19:46:26.586668,19:46:34.088951,2,-1.0
2,19:46:26.586668,19:46:34.311418,2,-1.0
2,19:46:26.586668,19:46:34.532151,2,-1.0
2,19:46:26.586668,19:46:34.761931,2,-1.0
2,19:46:26.586668,19:46:34.983459,2,-1.0
2,19:46:26.586668,19:46:35.193223,2,-1.0
2,19:46:26.586668,19:46:35.393862,2,-1.0
2,19:46:26.586668,19:46:35.618051,2,-1.0
2,19:46:26.586668,19:46:35.826492,2,-1.0
2,19:46:26.586668,19:46:35.984003,2,-1.0
2,19:46:26.586668,19:46:36.355088,2,-1.0
2,19:46:26.586668,19:46:36.667728,2,-1.0
2,19:46:26.586668,19:46:39.454460,2,-1.0
2,19:46:26.586668,19:46:39.635987,2,-1.0
2,19:46:26.586668,19:46:39.824626,2,-1.0
2,19:46:26.586668,19:46:39.990877,2,-1.0
2,19:46:26.586668,19:46:40.172897,2,-1.0
2,19:46:26.586668,19:46:40.337760,2,-1.0
2,19:46:26.586668,19:46:40.516072,2,-1.0
2,19:46:26.586668,19:46:40.682300,2,-1.0
2,19:46:26.586668,19:46:40.872168,2,-1.0
2,19:46:26.586668,19:46:41.044331,2,-1.0
2,19:46:26.586668,19:46:41.207154,2,-1.0
2,19:46:26.586668,19:46:41.368199,2,-1.0
2,19:46:26.586668,19:46:41.523619,2,-1.0
2,19:46:26.586668,19:46:41.682538,2,-1.0
2,19:46:26.586668,19:46:41.820531,2,-1.0
2,19:46:26.586668,19:46:41.987942,2,-1.0
2,19:46:26.586668,19:46:42.154579,2,-1.0
2,19:46:26.586668,19:46:42.355554,2,-1.0
2,19:46:26.586668,19:46:42.588193,2,-1.0
2,19:46:26.586668,19:46:42.787596,2,-1.0
2,19:46:26.586668,19:46:42.984452,2,-1.0
2,19:46:26.586668,19:46:43.187219,2,-1.0
2,19:46:26.586668,19:46:43.391473,2,-1.0
2,19:46:26.586668,19:46:43.511891,2,-1.0
2,19:46:26.586668,19:46:43.703096,2,-1.0
