Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:20:57.299250,21:21:14.326125,-1,-1.0
1,21:20:57.299250,21:21:15.084370,-1,-1.0
1,21:20:57.299250,21:21:22.077386,-1,-1.0
1,21:20:57.299250,21:21:22.655412,-1,-1.0
1,21:20:57.299250,21:21:26.503037,1,-1.0
1,21:20:57.299250,21:21:27.686344,-1,-1.0
1,21:20:57.299250,21:21:28.175684,-1,-1.0
1,21:20:57.299250,21:21:28.690018,-1,-1.0
1,21:20:57.299250,21:21:29.434187,-1,-1.0
1,21:20:57.299250,21:21:29.959662,-1,-1.0
1,21:20:57.299250,21:21:33.544556,-1,-1.0
1,21:20:57.299250,21:21:34.219887,-1,-1.0
1,21:20:57.299250,21:21:38.393882,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:21:39.597162,21:21:42.951499,1,-1.0
2,21:21:39.597162,21:21:43.383277,1,-1.0
2,21:21:39.597162,21:21:44.163351,1,-1.0
2,21:21:39.597162,21:21:52.502081,1,-1.0
2,21:21:39.597162,21:21:53.400829,-1,-1.0
2,21:21:39.597162,21:21:54.821905,-1,-1.0
2,21:21:39.597162,21:21:55.484957,-1,-1.0
2,21:21:39.597162,21:21:56.001907,-1,-1.0
2,21:21:39.597162,21:21:56.487046,-1,-1.0
2,21:21:39.597162,21:22:06.638655,-1,-1.0
2,21:21:39.597162,21:22:09.479568,1,-1.0
2,21:21:39.597162,21:22:14.551761,1,-1.0
2,21:21:39.597162,21:22:15.045250,1,-1.0
2,21:21:39.597162,21:22:16.581131,-1,-1.0
2,21:21:39.597162,21:22:17.224725,-1,-1.0
