Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:30:41.345946,11:30:45.784972,1,-1.0
1,11:30:41.345946,11:30:50.305951,-1,-1.0
1,11:30:41.345946,11:30:55.049305,-1,-1.0
1,11:30:41.345946,11:30:57.896003,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:31:03.218620,11:31:06.882472,1,-1.0
2,11:31:03.218620,11:31:14.110683,-1,-1.0
2,11:31:03.218620,11:31:18.937388,-1,-1.0
2,11:31:03.218620,11:31:23.420952,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,11:31:24.879431,11:31:34.142927,-1,-1.0
3,11:31:24.879431,11:31:38.085513,1,-1.0
3,11:31:24.879431,11:31:42.801445,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,11:31:46.590149,11:31:52.952784,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,11:32:08.251940,11:32:12.116193,-1,-1.0
5,11:32:08.251940,11:32:17.305926,1,-1.0
5,11:32:08.251940,11:32:25.300262,1,-1.0
