Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:40:43.479899,14:40:44.769451,1,-1.0
1,14:40:43.479899,14:40:45.962777,1,-1.0
1,14:40:43.479899,14:40:46.873611,1,-1.0
1,14:40:43.479899,14:40:48.996471,1,-1.0
1,14:40:43.479899,14:40:50.841324,1,-1.0
1,14:40:43.479899,14:40:51.728089,-1,-1.0
1,14:40:43.479899,14:40:52.493969,-1,-1.0
1,14:40:43.479899,14:40:52.951103,-1,-1.0
1,14:40:43.479899,14:40:53.585394,-1,-1.0
1,14:40:43.479899,14:40:54.127187,1,-1.0
1,14:40:43.479899,14:41:00.270501,1,-1.0
1,14:40:43.479899,14:41:02.815043,1,-1.0
1,14:40:43.479899,14:41:05.130662,-1,-1.0
1,14:40:43.479899,14:41:05.862451,1,-1.0
1,14:40:43.479899,14:41:06.639197,-1,-1.0
1,14:40:43.479899,14:41:07.427572,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,14:41:15.406571,14:41:19.837691,1,-1.0
2,14:41:15.406571,14:41:21.437519,1,-1.0
2,14:41:15.406571,14:41:22.955285,-1,-1.0
2,14:41:15.406571,14:41:23.718718,1,-1.0
2,14:41:15.406571,14:41:24.133549,1,-1.0
2,14:41:15.406571,14:41:31.727733,1,-1.0
