Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:17:59.524235,21:18:10.087895,-1,-1.0
1,21:17:59.524235,21:18:11.066265,-1,-1.0
1,21:17:59.524235,21:18:11.616543,-1,-1.0
1,21:17:59.524235,21:18:18.728794,-1,-1.0
1,21:17:59.524235,21:18:19.325705,-1,-1.0
1,21:17:59.524235,21:18:19.830271,-1,-1.0
1,21:17:59.524235,21:18:20.511481,-1,-1.0
1,21:17:59.524235,21:18:24.566337,-1,-1.0
1,21:17:59.524235,21:18:26.240121,1,-1.0
1,21:17:59.524235,21:18:33.881854,-1,-1.0
1,21:17:59.524235,21:18:34.540150,-1,-1.0
1,21:17:59.524235,21:18:35.084187,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:18:41.752670,21:18:50.344454,1,-1.0
2,21:18:41.752670,21:18:50.823749,1,-1.0
2,21:18:41.752670,21:18:51.115022,1,-1.0
2,21:18:41.752670,21:18:51.379370,1,-1.0
2,21:18:41.752670,21:18:51.927114,1,-1.0
