Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:40:00.413263,19:40:06.668161,2,-1.0
1,19:40:00.413263,19:40:06.832477,2,-1.0
1,19:40:00.413263,19:40:07.010065,2,-1.0
1,19:40:00.413263,19:40:07.176753,2,-1.0
1,19:40:00.413263,19:40:07.328824,2,-1.0
1,19:40:00.413263,19:40:07.503630,2,-1.0
1,19:40:00.413263,19:40:07.660050,2,-1.0
1,19:40:00.413263,19:40:07.857800,2,-1.0
1,19:40:00.413263,19:40:08.036907,2,-1.0
1,19:40:00.413263,19:40:08.186162,2,-1.0
1,19:40:00.413263,19:40:08.332107,2,-1.0
1,19:40:00.413263,19:40:08.480845,2,-1.0
1,19:40:00.413263,19:40:08.662622,2,-1.0
1,19:40:00.413263,19:40:12.428334,3,-1.0
1,19:40:00.413263,19:40:12.746392,3,-1.0
1,19:40:00.413263,19:40:12.969114,3,-1.0
1,19:40:00.413263,19:40:13.194366,3,-1.0
1,19:40:00.413263,19:40:13.394262,3,-1.0
1,19:40:00.413263,19:40:13.581934,3,-1.0
1,19:40:00.413263,19:40:13.793915,3,-1.0
1,19:40:00.413263,19:40:13.995955,3,-1.0
1,19:40:00.413263,19:40:14.215221,3,-1.0
1,19:40:00.413263,19:40:14.394659,3,-1.0
1,19:40:00.413263,19:40:14.602874,3,-1.0
1,19:40:00.413263,19:40:14.797289,3,-1.0
1,19:40:00.413263,19:40:15.025604,3,-1.0
1,19:40:00.413263,19:40:15.262956,3,-1.0
1,19:40:00.413263,19:40:15.469993,3,-1.0
1,19:40:00.413263,19:40:15.677010,3,-1.0
1,19:40:00.413263,19:40:15.945268,3,-1.0
1,19:40:00.413263,19:40:16.156956,3,-1.0
1,19:40:00.413263,19:40:16.396328,3,-1.0
1,19:40:00.413263,19:40:16.595689,3,-1.0
1,19:40:00.413263,19:40:16.807790,3,-1.0
1,19:40:00.413263,19:40:17.030778,3,-1.0
1,19:40:00.413263,19:40:17.257184,3,-1.0
1,19:40:00.413263,19:40:17.490433,3,-1.0
1,19:40:00.413263,19:40:17.701062,3,-1.0
1,19:40:00.413263,19:40:17.928583,3,-1.0
1,19:40:00.413263,19:40:18.159964,3,-1.0
1,19:40:00.413263,19:40:18.368631,3,-1.0
1,19:40:00.413263,19:40:18.587006,3,-1.0
1,19:40:00.413263,19:40:18.786611,3,-1.0
1,19:40:00.413263,19:40:19.005953,3,-1.0
1,19:40:00.413263,19:40:19.195321,3,-1.0
1,19:40:00.413263,19:40:19.362057,3,-1.0
1,19:40:00.413263,19:40:19.552911,3,-1.0
1,19:40:00.413263,19:40:19.762427,3,-1.0
1,19:40:00.413263,19:40:20.277486,2,-1.0
1,19:40:00.413263,19:40:20.475845,2,-1.0
1,19:40:00.413263,19:40:20.695710,2,-1.0
