Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:22:55.492372,11:22:59.508090,1,-1.0
1,11:22:55.492372,11:22:59.938988,1,-1.0
1,11:22:55.492372,11:23:07.629764,1,-1.0
1,11:22:55.492372,11:23:08.130684,1,-1.0
1,11:22:55.492372,11:23:08.697509,1,-1.0
1,11:22:55.492372,11:23:09.423993,1,-1.0
1,11:22:55.492372,11:23:15.965900,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:23:17.381204,11:23:21.761221,-1,-1.0
2,11:23:17.381204,11:23:25.588295,1,-1.0
2,11:23:17.381204,11:23:26.089449,-1,-1.0
2,11:23:17.381204,11:23:26.631125,-1,-1.0
2,11:23:17.381204,11:23:27.207730,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,11:23:38.828311,11:23:40.178001,1,-1.0
3,11:23:38.828311,11:23:40.594947,-1,-1.0
3,11:23:38.828311,11:23:42.918086,1,-1.0
3,11:23:38.828311,11:23:47.473447,-1,-1.0
3,11:23:38.828311,11:23:48.418335,-1,-1.0
3,11:23:38.828311,11:23:50.556129,1,-1.0
3,11:23:38.828311,11:23:52.307212,1,-1.0
3,11:23:38.828311,11:23:56.923578,-1,-1.0
