Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:26:47.907419,14:26:51.152251,1,-1.0
1,14:26:47.907419,14:26:54.314327,1,-1.0
1,14:26:47.907419,14:26:57.116821,1,-1.0
1,14:26:47.907419,14:26:59.464479,-1,-1.0
1,14:26:47.907419,14:27:00.727917,-1,-1.0
1,14:26:47.907419,14:27:01.312839,-1,-1.0
1,14:26:47.907419,14:27:01.716210,-1,-1.0
1,14:26:47.907419,14:27:02.315221,1,-1.0
1,14:26:47.907419,14:27:15.131116,-1,-1.0
1,14:26:47.907419,14:27:18.113930,1,-1.0
1,14:26:47.907419,14:27:22.792557,1,-1.0
1,14:26:47.907419,14:27:23.565519,1,-1.0
1,14:26:47.907419,14:27:24.115429,-1,-1.0
1,14:26:47.907419,14:27:24.826464,-1,-1.0
1,14:26:47.907419,14:27:27.288945,1,-1.0
1,14:26:47.907419,14:27:29.945827,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,14:27:37.773920,14:27:39.627553,-1,-1.0
2,14:27:37.773920,14:27:40.740521,1,-1.0
2,14:27:37.773920,14:27:47.004090,1,-1.0
2,14:27:37.773920,14:27:52.943078,1,-1.0
2,14:27:37.773920,14:27:58.509759,1,-1.0
2,14:27:37.773920,14:28:02.511542,1,-1.0
2,14:27:37.773920,14:28:09.408420,1,-1.0
2,14:27:37.773920,14:28:11.018467,-1,-1.0
2,14:27:37.773920,14:28:11.826363,1,-1.0
2,14:27:37.773920,14:28:18.145768,1,-1.0
2,14:27:37.773920,14:28:21.468882,-1,-1.0
2,14:27:37.773920,14:28:22.103509,-1,-1.0
2,14:27:37.773920,14:28:22.774225,-1,-1.0
2,14:27:37.773920,14:28:23.468106,-1,-1.0
2,14:27:37.773920,14:28:24.200528,1,-1.0
2,14:27:37.773920,14:28:24.644142,1,-1.0
2,14:27:37.773920,14:28:25.183248,-1,-1.0
2,14:27:37.773920,14:28:25.885726,-1,-1.0
2,14:27:37.773920,14:28:26.458880,-1,-1.0
2,14:27:37.773920,14:28:26.984763,-1,-1.0
2,14:27:37.773920,14:28:27.617253,-1,-1.0
2,14:27:37.773920,14:28:28.096333,-1,-1.0
2,14:27:37.773920,14:28:28.839776,1,-1.0
