Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,20:06:14.932014,20:06:20.797427,2,-1.0
1,20:06:14.932014,20:06:20.954319,2,-1.0
1,20:06:14.932014,20:06:21.111198,2,-1.0
1,20:06:14.932014,20:06:21.279373,2,-1.0
1,20:06:14.932014,20:06:21.421572,2,-1.0
1,20:06:14.932014,20:06:25.613136,3,-1.0
1,20:06:14.932014,20:06:25.944904,3,-1.0
1,20:06:14.932014,20:06:26.186479,3,-1.0
1,20:06:14.932014,20:06:26.449546,3,-1.0
1,20:06:14.932014,20:06:26.733675,3,-1.0
1,20:06:14.932014,20:06:26.920819,3,-1.0
1,20:06:14.932014,20:06:27.171013,3,-1.0
1,20:06:14.932014,20:06:27.471234,3,-1.0
1,20:06:14.932014,20:06:27.771944,3,-1.0
1,20:06:14.932014,20:06:28.041601,3,-1.0
1,20:06:14.932014,20:06:32.653385,3,-1.0
1,20:06:14.932014,20:06:32.923544,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,20:06:35.791127,20:06:36.848761,2,-1.0
2,20:06:35.791127,20:06:37.005429,2,-1.0
2,20:06:35.791127,20:06:37.200994,2,-1.0
2,20:06:35.791127,20:06:40.532466,3,-1.0
2,20:06:35.791127,20:06:40.909435,3,-1.0
2,20:06:35.791127,20:06:41.355817,3,-1.0
2,20:06:35.791127,20:06:41.599504,3,-1.0
2,20:06:35.791127,20:06:44.747799,2,-1.0
2,20:06:35.791127,20:06:44.972487,2,-1.0
2,20:06:35.791127,20:06:45.163854,2,-1.0
2,20:06:35.791127,20:06:45.335012,2,-1.0
2,20:06:35.791127,20:06:45.525296,2,-1.0
2,20:06:35.791127,20:06:45.725444,2,-1.0
2,20:06:35.791127,20:06:45.998202,2,-1.0
2,20:06:35.791127,20:06:46.214311,2,-1.0
2,20:06:35.791127,20:06:46.397155,2,-1.0
2,20:06:35.791127,20:06:46.598593,2,-1.0
2,20:06:35.791127,20:06:46.797259,2,-1.0
2,20:06:35.791127,20:06:46.968363,2,-1.0
2,20:06:35.791127,20:06:47.282348,2,-1.0
2,20:06:35.791127,20:06:47.472392,2,-1.0
2,20:06:35.791127,20:06:47.672080,2,-1.0
2,20:06:35.791127,20:06:47.842752,2,-1.0
2,20:06:35.791127,20:06:48.024060,2,-1.0
2,20:06:35.791127,20:06:48.203813,2,-1.0
2,20:06:35.791127,20:06:48.391912,2,-1.0
2,20:06:35.791127,20:06:48.567407,2,-1.0
2,20:06:35.791127,20:06:48.754099,2,-1.0
2,20:06:35.791127,20:06:48.925825,2,-1.0
2,20:06:35.791127,20:06:49.085943,2,-1.0
2,20:06:35.791127,20:06:49.255326,2,-1.0
2,20:06:35.791127,20:06:49.403852,2,-1.0
2,20:06:35.791127,20:06:52.808618,3,-1.0
2,20:06:35.791127,20:06:53.421434,3,-1.0
2,20:06:35.791127,20:06:53.814768,3,-1.0
2,20:06:35.791127,20:06:54.033793,3,-1.0
2,20:06:35.791127,20:06:54.243405,3,-1.0
2,20:06:35.791127,20:06:54.481103,3,-1.0
2,20:06:35.791127,20:06:58.909253,3,-1.0
