Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:05:59.878708,21:06:00.175895,1,-1.0
1,21:05:59.878708,21:06:05.898290,1,-1.0
1,21:05:59.878708,21:06:10.915024,1,-1.0
1,21:05:59.878708,21:06:14.071871,-1,-1.0
1,21:05:59.878708,21:06:16.225536,-1,-1.0
1,21:05:59.878708,21:06:22.868733,1,-1.0
1,21:05:59.878708,21:06:23.350636,1,-1.0
1,21:05:59.878708,21:06:31.668687,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:06:42.029862,21:06:42.330199,1,-1.0
2,21:06:42.029862,21:06:47.971756,1,-1.0
2,21:06:42.029862,21:06:57.473044,-1,-1.0
2,21:06:42.029862,21:07:06.847831,1,-1.0
2,21:06:42.029862,21:07:13.654156,-1,-1.0
2,21:06:42.029862,21:07:17.092457,-1,-1.0
2,21:06:42.029862,21:07:22.573046,1,-1.0
