Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:32:29.217144,14:32:34.717986,1,-1.0
1,14:32:29.217144,14:32:35.713542,1,-1.0
1,14:32:29.217144,14:32:37.663188,1,-1.0
1,14:32:29.217144,14:32:38.113785,1,-1.0
1,14:32:29.217144,14:32:39.084841,1,-1.0
1,14:32:29.217144,14:32:41.608473,1,-1.0
1,14:32:29.217144,14:32:42.325160,-1,-1.0
1,14:32:29.217144,14:32:42.785875,-1,-1.0
1,14:32:29.217144,14:32:43.228131,-1,-1.0
1,14:32:29.217144,14:32:43.655851,-1,-1.0
1,14:32:29.217144,14:32:44.384748,-1,-1.0
1,14:32:29.217144,14:32:44.808218,1,-1.0
1,14:32:29.217144,14:32:52.118881,1,-1.0
1,14:32:29.217144,14:32:53.262762,1,-1.0
1,14:32:29.217144,14:32:58.182027,-1,-1.0
1,14:32:29.217144,14:33:01.012063,-1,-1.0
1,14:32:29.217144,14:33:03.446646,1,-1.0
1,14:32:29.217144,14:33:06.060210,-1,-1.0
1,14:32:29.217144,14:33:07.404405,1,-1.0
1,14:32:29.217144,14:33:12.387491,1,-1.0
1,14:32:29.217144,14:33:16.275771,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,14:33:20.667573,14:33:22.280896,-1,-1.0
2,14:33:20.667573,14:33:23.004281,-1,-1.0
2,14:33:20.667573,14:33:23.874421,1,-1.0
2,14:33:20.667573,14:33:29.315715,1,-1.0
2,14:33:20.667573,14:33:30.837613,1,-1.0
2,14:33:20.667573,14:33:35.689308,-1,-1.0
2,14:33:20.667573,14:33:36.302530,-1,-1.0
2,14:33:20.667573,14:33:37.190637,1,-1.0
2,14:33:20.667573,14:33:37.563998,1,-1.0
2,14:33:20.667573,14:33:43.368230,1,-1.0
2,14:33:20.667573,14:33:45.957201,1,-1.0
2,14:33:20.667573,14:33:46.796188,1,-1.0
2,14:33:20.667573,14:33:49.802713,1,-1.0
2,14:33:20.667573,14:33:50.427930,1,-1.0
2,14:33:20.667573,14:33:50.916612,1,-1.0
2,14:33:20.667573,14:33:51.190642,1,-1.0
2,14:33:20.667573,14:33:51.389115,1,-1.0
2,14:33:20.667573,14:33:51.680354,1,-1.0
