Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:39:30.649754,16:39:34.832309,1,-1.0
1,16:39:30.649754,16:39:38.044746,3,-1.0
1,16:39:30.649754,16:39:41.126609,1,-1.0
1,16:39:30.649754,16:39:46.290981,2,-1.0
1,16:39:30.649754,16:39:50.784070,2,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:39:53.175511,16:39:56.862227,1,-1.0
2,16:39:53.175511,16:39:59.404793,3,-1.0
2,16:39:53.175511,16:40:03.814019,2,-1.0
2,16:39:53.175511,16:40:05.292404,1,-1.0
2,16:39:53.175511,16:40:06.506645,1,-1.0
2,16:39:53.175511,16:40:08.471805,3,-1.0
2,16:39:53.175511,16:40:12.684332,1,-1.0
2,16:39:53.175511,16:40:15.150081,2,-1.0
