Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:49:03.381360,19:49:05.097391,2,-1.0
1,19:49:03.381360,19:49:05.293835,2,-1.0
1,19:49:03.381360,19:49:05.465922,2,-1.0
1,19:49:03.381360,19:49:05.633996,2,-1.0
1,19:49:03.381360,19:49:05.800520,2,-1.0
1,19:49:03.381360,19:49:05.971938,2,-1.0
1,19:49:03.381360,19:49:06.150190,2,-1.0
1,19:49:03.381360,19:49:06.318055,2,-1.0
1,19:49:03.381360,19:49:06.505230,2,-1.0
1,19:49:03.381360,19:49:06.675576,2,-1.0
1,19:49:03.381360,19:49:06.834224,2,-1.0
1,19:49:03.381360,19:49:07.014092,2,-1.0
1,19:49:03.381360,19:49:07.186089,2,-1.0
1,19:49:03.381360,19:49:07.343392,2,-1.0
1,19:49:03.381360,19:49:07.519987,2,-1.0
1,19:49:03.381360,19:49:07.710606,2,-1.0
1,19:49:03.381360,19:49:07.884727,2,-1.0
1,19:49:03.381360,19:49:08.073595,2,-1.0
1,19:49:03.381360,19:49:08.253227,2,-1.0
1,19:49:03.381360,19:49:08.421103,2,-1.0
1,19:49:03.381360,19:49:08.606407,2,-1.0
1,19:49:03.381360,19:49:08.791853,2,-1.0
1,19:49:03.381360,19:49:08.947310,2,-1.0
1,19:49:03.381360,19:49:09.124442,2,-1.0
1,19:49:03.381360,19:49:09.324862,2,-1.0
1,19:49:03.381360,19:49:09.512067,2,-1.0
1,19:49:03.381360,19:49:09.700358,2,-1.0
1,19:49:03.381360,19:49:09.857283,2,-1.0
1,19:49:03.381360,19:49:10.056445,2,-1.0
1,19:49:03.381360,19:49:10.218181,2,-1.0
1,19:49:03.381360,19:49:10.402355,2,-1.0
1,19:49:03.381360,19:49:10.589439,2,-1.0
1,19:49:03.381360,19:49:13.993331,3,-1.0
1,19:49:03.381360,19:49:14.307817,3,-1.0
1,19:49:03.381360,19:49:14.498675,3,-1.0
1,19:49:03.381360,19:49:14.693147,3,-1.0
1,19:49:03.381360,19:49:14.883212,3,-1.0
1,19:49:03.381360,19:49:15.075936,3,-1.0
1,19:49:03.381360,19:49:15.264194,3,-1.0
1,19:49:03.381360,19:49:15.454800,3,-1.0
1,19:49:03.381360,19:49:15.658269,3,-1.0
1,19:49:03.381360,19:49:15.851098,3,-1.0
1,19:49:03.381360,19:49:16.042882,3,-1.0
1,19:49:03.381360,19:49:16.231367,3,-1.0
1,19:49:03.381360,19:49:16.430713,3,-1.0
1,19:49:03.381360,19:49:16.653399,3,-1.0
1,19:49:03.381360,19:49:16.884622,3,-1.0
1,19:49:03.381360,19:49:17.097095,3,-1.0
1,19:49:03.381360,19:49:17.327526,3,-1.0
1,19:49:03.381360,19:49:17.534642,3,-1.0
1,19:49:03.381360,19:49:17.765618,3,-1.0
1,19:49:03.381360,19:49:18.009036,3,-1.0
1,19:49:03.381360,19:49:18.228030,3,-1.0
1,19:49:03.381360,19:49:18.427038,3,-1.0
1,19:49:03.381360,19:49:18.643467,3,-1.0
1,19:49:03.381360,19:49:18.897873,3,-1.0
1,19:49:03.381360,19:49:19.129283,3,-1.0
1,19:49:03.381360,19:49:19.336777,3,-1.0
1,19:49:03.381360,19:49:19.534048,3,-1.0
1,19:49:03.381360,19:49:19.753244,3,-1.0
1,19:49:03.381360,19:49:19.976508,3,-1.0
1,19:49:03.381360,19:49:20.204455,3,-1.0
1,19:49:03.381360,19:49:20.429336,3,-1.0
1,19:49:03.381360,19:49:20.632789,3,-1.0
1,19:49:03.381360,19:49:20.850431,3,-1.0
1,19:49:03.381360,19:49:21.084346,3,-1.0
1,19:49:03.381360,19:49:21.303626,3,-1.0
1,19:49:03.381360,19:49:21.521906,3,-1.0
1,19:49:03.381360,19:49:21.730739,3,-1.0
1,19:49:03.381360,19:49:21.979403,3,-1.0
1,19:49:03.381360,19:49:22.207146,3,-1.0
1,19:49:03.381360,19:49:22.430770,3,-1.0
1,19:49:03.381360,19:49:22.660173,3,-1.0
1,19:49:03.381360,19:49:22.879734,3,-1.0
1,19:49:03.381360,19:49:23.100832,3,-1.0
1,19:49:03.381360,19:49:23.319969,3,-1.0
1,19:49:03.381360,19:49:23.541475,3,-1.0
1,19:49:03.381360,19:49:23.794004,3,-1.0
1,19:49:03.381360,19:49:24.057721,3,-1.0
1,19:49:03.381360,19:49:24.358860,3,-1.0
1,19:49:03.381360,19:49:24.590341,3,-1.0
1,19:49:03.381360,19:49:24.803410,3,-1.0
1,19:49:03.381360,19:49:25.028412,3,-1.0
1,19:49:03.381360,19:49:25.266491,3,-1.0
1,19:49:03.381360,19:49:25.557820,2,-1.0
1,19:49:03.381360,19:49:25.800190,2,-1.0
1,19:49:03.381360,19:49:25.979082,2,-1.0
1,19:49:03.381360,19:49:26.158459,2,-1.0
1,19:49:03.381360,19:49:26.372051,2,-1.0
1,19:49:03.381360,19:49:26.552830,2,-1.0
1,19:49:03.381360,19:49:26.811060,2,-1.0
1,19:49:03.381360,19:49:26.905681,2,-1.0
1,19:49:03.381360,19:49:27.128386,2,-1.0
1,19:49:03.381360,19:49:29.454579,2,-1.0
1,19:49:03.381360,19:49:29.633977,2,-1.0
1,19:49:03.381360,19:49:29.802258,2,-1.0
1,19:49:03.381360,19:49:29.970515,2,-1.0
1,19:49:03.381360,19:49:30.158314,2,-1.0
1,19:49:03.381360,19:49:30.324909,2,-1.0
1,19:49:03.381360,19:49:30.499662,2,-1.0
1,19:49:03.381360,19:49:30.678145,2,-1.0
1,19:49:03.381360,19:49:30.851545,2,-1.0
1,19:49:03.381360,19:49:31.032755,2,-1.0
1,19:49:03.381360,19:49:31.202372,2,-1.0
1,19:49:03.381360,19:49:31.381769,2,-1.0
1,19:49:03.381360,19:49:31.548924,2,-1.0
1,19:49:03.381360,19:49:31.749205,2,-1.0
1,19:49:03.381360,19:49:31.920323,2,-1.0
1,19:49:03.381360,19:49:32.103989,2,-1.0
1,19:49:03.381360,19:49:32.279496,2,-1.0
1,19:49:03.381360,19:49:32.486615,2,-1.0
1,19:49:03.381360,19:49:32.663837,2,-1.0
1,19:49:03.381360,19:49:32.831286,2,-1.0
1,19:49:03.381360,19:49:33.012456,2,-1.0
1,19:49:03.381360,19:49:33.185899,2,-1.0
1,19:49:03.381360,19:49:33.368898,2,-1.0
1,19:49:03.381360,19:49:33.553902,2,-1.0
1,19:49:03.381360,19:49:33.785034,2,-1.0
1,19:49:03.381360,19:49:33.998347,2,-1.0
1,19:49:03.381360,19:49:34.206788,2,-1.0
1,19:49:03.381360,19:49:35.410436,3,-1.0
1,19:49:03.381360,19:49:35.619112,3,-1.0
1,19:49:03.381360,19:49:35.818462,3,-1.0
1,19:49:03.381360,19:49:36.026782,3,-1.0
1,19:49:03.381360,19:49:36.245936,3,-1.0
1,19:49:03.381360,19:49:36.466901,3,-1.0
