Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:40:30.967187,16:40:34.691919,1,-1.0
1,16:40:30.967187,16:40:38.812321,-1,-1.0
1,16:40:30.967187,16:40:42.352869,2,-1.0
1,16:40:30.967187,16:40:46.449169,1,-1.0
1,16:40:30.967187,16:40:46.966460,1,-1.0
1,16:40:30.967187,16:40:50.572494,-1,-1.0
1,16:40:30.967187,16:40:52.576700,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:40:53.438661,16:40:54.536328,2,-1.0
2,16:40:53.438661,16:40:55.214243,3,-1.0
2,16:40:53.438661,16:40:58.070896,1,-1.0
2,16:40:53.438661,16:40:59.154713,2,-1.0
2,16:40:53.438661,16:40:59.969892,2,-1.0
2,16:40:53.438661,16:41:00.328644,2,-1.0
2,16:40:53.438661,16:41:00.544228,2,-1.0
2,16:40:53.438661,16:41:00.758773,2,-1.0
2,16:40:53.438661,16:41:00.961159,2,-1.0
2,16:40:53.438661,16:41:01.142527,2,-1.0
2,16:40:53.438661,16:41:01.351463,2,-1.0
2,16:40:53.438661,16:41:01.559833,2,-1.0
2,16:40:53.438661,16:41:01.773671,2,-1.0
2,16:40:53.438661,16:41:01.950798,2,-1.0
2,16:40:53.438661,16:41:02.109108,2,-1.0
2,16:40:53.438661,16:41:02.256847,2,-1.0
2,16:40:53.438661,16:41:02.402829,2,-1.0
2,16:40:53.438661,16:41:02.582568,2,-1.0
2,16:40:53.438661,16:41:02.750379,2,-1.0
2,16:40:53.438661,16:41:03.132767,1,-1.0
2,16:40:53.438661,16:41:05.207467,-1,-1.0
2,16:40:53.438661,16:41:08.364314,-1,-1.0
2,16:40:53.438661,16:41:09.371618,1,-1.0
2,16:40:53.438661,16:41:10.231578,2,-1.0
2,16:40:53.438661,16:41:10.704538,2,-1.0
2,16:40:53.438661,16:41:10.923643,2,-1.0
2,16:40:53.438661,16:41:11.133213,2,-1.0
2,16:40:53.438661,16:41:11.324470,2,-1.0
2,16:40:53.438661,16:41:11.506511,2,-1.0
2,16:40:53.438661,16:41:11.672694,2,-1.0
2,16:40:53.438661,16:41:11.850064,2,-1.0
2,16:40:53.438661,16:41:12.036861,2,-1.0
2,16:40:53.438661,16:41:12.193806,2,-1.0
2,16:40:53.438661,16:41:12.364793,2,-1.0
2,16:40:53.438661,16:41:12.562947,2,-1.0
2,16:40:53.438661,16:41:12.744839,2,-1.0
2,16:40:53.438661,16:41:12.903846,2,-1.0
2,16:40:53.438661,16:41:13.072701,2,-1.0
2,16:40:53.438661,16:41:13.246802,2,-1.0
2,16:40:53.438661,16:41:15.003757,3,-1.0
2,16:40:53.438661,16:41:15.254457,3,-1.0
2,16:40:53.438661,16:41:15.480089,3,-1.0
2,16:40:53.438661,16:41:15.698492,3,-1.0
2,16:40:53.438661,16:41:15.919431,3,-1.0
2,16:40:53.438661,16:41:16.118835,3,-1.0
