Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:13:08.662747,11:13:14.881693,1,-1.0
1,11:13:08.662747,11:13:16.863848,-1,-1.0
1,11:13:08.662747,11:13:17.279184,-1,-1.0
1,11:13:08.662747,11:13:17.869666,1,-1.0
1,11:13:08.662747,11:13:22.677510,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:13:27.170365,11:13:28.071211,-1,-1.0
2,11:13:27.170365,11:13:28.788384,1,-1.0
2,11:13:27.170365,11:13:29.048200,-1,-1.0
2,11:13:27.170365,11:13:29.785997,1,-1.0
2,11:13:27.170365,11:13:33.933576,-1,-1.0
2,11:13:27.170365,11:13:34.345060,-1,-1.0
2,11:13:27.170365,11:13:35.392489,1,-1.0
2,11:13:27.170365,11:13:38.529706,-1,-1.0
2,11:13:27.170365,11:13:39.051645,-1,-1.0
2,11:13:27.170365,11:13:40.007209,1,-1.0
2,11:13:27.170365,11:13:46.602433,-1,-1.0
2,11:13:27.170365,11:13:47.050293,-1,-1.0
2,11:13:27.170365,11:13:47.617564,-1,-1.0
2,11:13:27.170365,11:13:48.073070,-1,-1.0
2,11:13:27.170365,11:13:48.788450,1,-1.0
2,11:13:27.170365,11:13:54.121129,1,-1.0
2,11:13:27.170365,11:13:54.726735,-1,-1.0
2,11:13:27.170365,11:13:55.445446,-1,-1.0
2,11:13:27.170365,11:13:57.461158,1,-1.0
