Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:14:35.149658,21:14:42.437806,1,-1.0
1,21:14:35.149658,21:15:00.389399,1,-1.0
1,21:14:35.149658,21:15:01.071832,1,-1.0
1,21:14:35.149658,21:15:01.334878,1,-1.0
1,21:14:35.149658,21:15:01.537317,1,-1.0
1,21:14:35.149658,21:15:10.735650,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:15:17.318288,21:15:31.898285,-1,-1.0
2,21:15:17.318288,21:15:32.464686,-1,-1.0
2,21:15:17.318288,21:15:34.586464,-1,-1.0
2,21:15:17.318288,21:15:46.900144,-1,-1.0
2,21:15:17.318288,21:15:55.155763,1,-1.0
