Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:45:15.909398,11:45:18.837552,1,-1.0
1,11:45:15.909398,11:45:20.185190,1,-1.0
1,11:45:15.909398,11:45:22.839226,1,-1.0
1,11:45:15.909398,11:45:24.186125,-1,-1.0
1,11:45:15.909398,11:45:24.804417,-1,-1.0
1,11:45:15.909398,11:45:25.376189,-1,-1.0
1,11:45:15.909398,11:45:26.018412,-1,-1.0
1,11:45:15.909398,11:45:26.612396,1,-1.0
1,11:45:15.909398,11:45:29.824017,1,-1.0
1,11:45:15.909398,11:45:29.951691,1,-1.0
1,11:45:15.909398,11:45:32.180127,1,-1.0
1,11:45:15.909398,11:45:33.189419,-1,-1.0
1,11:45:15.909398,11:45:33.784710,-1,-1.0
1,11:45:15.909398,11:45:34.546873,-1,-1.0
1,11:45:15.909398,11:45:35.114787,-1,-1.0
1,11:45:15.909398,11:45:35.848162,-1,-1.0
1,11:45:15.909398,11:45:36.541944,-1,-1.0
1,11:45:15.909398,11:45:37.369178,1,-1.0
1,11:45:15.909398,11:45:42.049735,1,-1.0
1,11:45:15.909398,11:45:42.567155,1,-1.0
1,11:45:15.909398,11:45:43.453951,1,-1.0
1,11:45:15.909398,11:45:44.462511,1,-1.0
1,11:45:15.909398,11:45:48.462432,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:45:50.963416,11:45:52.082405,-1,-1.0
2,11:45:50.963416,11:45:52.574791,-1,-1.0
2,11:45:50.963416,11:45:53.090920,-1,-1.0
2,11:45:50.963416,11:45:53.724400,1,-1.0
2,11:45:50.963416,11:45:57.798974,1,-1.0
2,11:45:50.963416,11:46:02.346517,1,-1.0
2,11:45:50.963416,11:46:02.392541,-1,-1.0
2,11:45:50.963416,11:46:03.029948,-1,-1.0
2,11:45:50.963416,11:46:03.648170,-1,-1.0
2,11:45:50.963416,11:46:04.465270,1,-1.0
2,11:45:50.963416,11:46:06.215229,1,-1.0
2,11:45:50.963416,11:46:14.627136,1,-1.0
2,11:45:50.963416,11:46:17.162074,1,-1.0
2,11:45:50.963416,11:46:19.241465,1,-1.0
2,11:45:50.963416,11:46:22.065814,1,-1.0
