Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:24:52.562511,11:24:54.689425,1,-1.0
1,11:24:52.562511,11:24:58.712929,-1,-1.0
1,11:24:52.562511,11:24:59.263251,-1,-1.0
1,11:24:52.562511,11:24:59.708876,1,-1.0
1,11:24:52.562511,11:25:00.265838,1,-1.0
1,11:24:52.562511,11:25:02.009919,1,-1.0
1,11:24:52.562511,11:25:05.410797,1,-1.0
1,11:24:52.562511,11:25:05.486831,1,-1.0
1,11:24:52.562511,11:25:08.333349,1,-1.0
1,11:24:52.562511,11:25:09.521201,1,-1.0
1,11:24:52.562511,11:25:11.105722,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:25:13.847307,11:25:15.668478,-1,-1.0
2,11:25:13.847307,11:25:16.184809,-1,-1.0
2,11:25:13.847307,11:25:16.555527,-1,-1.0
2,11:25:13.847307,11:25:16.944552,-1,-1.0
2,11:25:13.847307,11:25:17.494622,-1,-1.0
2,11:25:13.847307,11:25:17.946843,-1,-1.0
2,11:25:13.847307,11:25:18.466172,1,-1.0
2,11:25:13.847307,11:25:23.234333,1,-1.0
2,11:25:13.847307,11:25:24.125415,-1,-1.0
2,11:25:13.847307,11:25:24.522805,-1,-1.0
2,11:25:13.847307,11:25:25.117392,1,-1.0
2,11:25:13.847307,11:25:27.097380,1,-1.0
2,11:25:13.847307,11:25:27.349093,1,-1.0
2,11:25:13.847307,11:25:27.630966,1,-1.0
2,11:25:13.847307,11:25:29.460485,1,-1.0
2,11:25:13.847307,11:25:31.904101,1,-1.0
2,11:25:13.847307,11:25:33.658420,1,-1.0
2,11:25:13.847307,11:25:34.007364,1,-1.0
2,11:25:13.847307,11:25:34.277823,1,-1.0
2,11:25:13.847307,11:25:34.521240,1,-1.0
2,11:25:13.847307,11:25:34.751839,1,-1.0
2,11:25:13.847307,11:25:34.992934,1,-1.0
2,11:25:13.847307,11:25:35.347406,1,-1.0
2,11:25:13.847307,11:25:35.609593,1,-1.0
2,11:25:13.847307,11:25:35.837857,1,-1.0
2,11:25:13.847307,11:25:36.081346,1,-1.0
2,11:25:13.847307,11:25:36.324510,1,-1.0
2,11:25:13.847307,11:25:36.613968,1,-1.0
2,11:25:13.847307,11:25:37.013499,-1,-1.0
2,11:25:13.847307,11:25:37.565785,-1,-1.0
2,11:25:13.847307,11:25:38.203841,-1,-1.0
2,11:25:13.847307,11:25:38.825624,-1,-1.0
2,11:25:13.847307,11:25:39.332995,-1,-1.0
2,11:25:13.847307,11:25:39.684397,-1,-1.0
2,11:25:13.847307,11:25:40.254825,-1,-1.0
2,11:25:13.847307,11:25:40.773162,-1,-1.0
2,11:25:13.847307,11:25:41.147127,-1,-1.0
2,11:25:13.847307,11:25:41.583842,-1,-1.0
2,11:25:13.847307,11:25:42.098613,-1,-1.0
2,11:25:13.847307,11:25:42.905543,-1,-1.0
2,11:25:13.847307,11:25:43.420044,-1,-1.0
2,11:25:13.847307,11:25:44.222822,1,-1.0
2,11:25:13.847307,11:25:44.710142,1,-1.0
2,11:25:13.847307,11:25:49.407326,1,-1.0
2,11:25:13.847307,11:25:50.070377,1,-1.0
2,11:25:13.847307,11:25:50.509828,-1,-1.0
2,11:25:13.847307,11:25:50.957231,-1,-1.0
2,11:25:13.847307,11:25:52.085874,-1,-1.0
2,11:25:13.847307,11:25:52.456488,-1,-1.0
2,11:25:13.847307,11:25:53.128203,1,-1.0
2,11:25:13.847307,11:25:53.588835,1,-1.0
2,11:25:13.847307,11:25:54.062306,1,-1.0
2,11:25:13.847307,11:25:54.601446,1,-1.0
2,11:25:13.847307,11:25:55.222148,1,-1.0
2,11:25:13.847307,11:25:55.979161,1,-1.0
