Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,20:12:37.719401,20:12:40.979307,1,-1.0
1,20:12:37.719401,20:12:44.633169,1,-1.0
1,20:12:37.719401,20:12:51.502980,1,-1.0
1,20:12:37.719401,20:12:53.681196,-1,-1.0
1,20:12:37.719401,20:12:54.107471,-1,-1.0
1,20:12:37.719401,20:12:59.036529,1,-1.0
1,20:12:37.719401,20:12:59.358017,1,-1.0
1,20:12:37.719401,20:13:05.423806,1,-1.0
1,20:12:37.719401,20:13:09.442818,-1,-1.0
1,20:12:37.719401,20:13:15.613343,1,-1.0
1,20:12:37.719401,20:13:18.376157,-1,-1.0
1,20:12:37.719401,20:13:20.016785,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,20:13:20.763210,20:13:23.069196,-1,-1.0
2,20:13:20.763210,20:13:29.755788,1,-1.0
2,20:13:20.763210,20:13:30.315103,1,-1.0
2,20:13:20.763210,20:13:38.946088,1,-1.0
2,20:13:20.763210,20:13:45.878770,1,-1.0
2,20:13:20.763210,20:13:48.834290,-1,-1.0
2,20:13:20.763210,20:13:54.532939,-1,-1.0
2,20:13:20.763210,20:13:54.903003,-1,-1.0
2,20:13:20.763210,20:13:58.641759,1,-1.0
2,20:13:20.763210,20:14:02.521697,1,-1.0
2,20:13:20.763210,20:14:02.910196,1,-1.0
