Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:38:24.181751,19:38:31.114313,2,-1.0
1,19:38:24.181751,19:38:33.461520,2,-1.0
1,19:38:24.181751,19:38:40.298169,2,-1.0
1,19:38:24.181751,19:38:40.615030,2,-1.0
1,19:38:24.181751,19:38:40.815431,2,-1.0
1,19:38:24.181751,19:38:41.007798,2,-1.0
1,19:38:24.181751,19:38:41.180193,2,-1.0
1,19:38:24.181751,19:38:41.362100,2,-1.0
1,19:38:24.181751,19:38:41.546700,2,-1.0
1,19:38:24.181751,19:38:41.712773,2,-1.0
1,19:38:24.181751,19:38:41.900617,2,-1.0
1,19:38:24.181751,19:38:42.068416,2,-1.0
1,19:38:24.181751,19:38:43.343621,2,-1.0
1,19:38:24.181751,19:38:43.539053,2,-1.0
1,19:38:24.181751,19:38:43.708280,2,-1.0
1,19:38:24.181751,19:38:43.901879,2,-1.0
1,19:38:24.181751,19:38:44.064127,2,-1.0
1,19:38:24.181751,19:38:44.232769,2,-1.0
1,19:38:24.181751,19:38:44.415166,2,-1.0
1,19:38:24.181751,19:38:44.575830,2,-1.0
1,19:38:24.181751,19:38:44.744793,2,-1.0
1,19:38:24.181751,19:38:44.902368,2,-1.0
1,19:38:24.181751,19:38:45.081865,2,-1.0
1,19:38:24.181751,19:38:45.253164,2,-1.0
1,19:38:24.181751,19:38:45.434579,2,-1.0
1,19:38:24.181751,19:38:45.602059,2,-1.0
1,19:38:24.181751,19:38:45.791279,2,-1.0
1,19:38:24.181751,19:38:45.950466,2,-1.0
1,19:38:24.181751,19:38:46.121384,2,-1.0
1,19:38:24.181751,19:38:46.291034,2,-1.0
1,19:38:24.181751,19:38:46.471740,2,-1.0
1,19:38:24.181751,19:38:46.643274,2,-1.0
1,19:38:24.181751,19:38:46.820852,2,-1.0
1,19:38:24.181751,19:38:46.991631,2,-1.0
1,19:38:24.181751,19:38:47.154107,2,-1.0
